Timestamp;Y;Y;rol
27271000;-5.842141E-001;1.456046E+002;1.782413E+002
27283000;-5.850440E-001;1.457447E+002;1.779612E+002
27294000;-5.859174E-001;1.455346E+002;1.767706E+002
27306000;-5.868273E-001;1.455346E+002;1.767706E+002
27318000;-5.877297E-001;1.437137E+002;1.767706E+002
27330000;-5.886231E-001;1.456046E+002;1.872760E+002
27341000;-5.894951E-001;1.473555E+002;1.872760E+002
27352000;-5.903302E-001;1.463750E+002;1.935092E+002
27363000;-5.911776E-001;1.464451E+002;1.942796E+002
27374000;-5.920282E-001;1.477057E+002;1.950500E+002
27385000;-5.928793E-001;1.483360E+002;1.929489E+002
27396000;-5.937302E-001;1.498768E+002;1.898673E+002
27407000;-5.945628E-001;1.504371E+002;1.897272E+002
27418000;-5.953653E-001;1.491064E+002;1.871359E+002
27430000;-5.961407E-001;1.450443E+002;1.852449E+002
27441000;-5.968955E-001;1.399317E+002;1.848247E+002
27453000;-5.976437E-001;1.379007E+002;1.844745E+002
27465000;-5.984074E-001;1.404220E+002;1.904976E+002
27476000;-5.991638E-001;1.432934E+002;1.961005E+002
27487000;-5.999354E-001;1.444140E+002;1.951900E+002
27498000;-6.006877E-001;1.436436E+002;1.949099E+002
27509000;-6.006877E-001;1.428732E+002;1.944897E+002
27520000;-6.014044E-001;1.437837E+002;1.970810E+002
27531000;-6.021633E-001;1.437837E+002;1.970810E+002
27542000;-6.029878E-001;1.451844E+002;2.000925E+002
27554000;-6.038609E-001;1.470053E+002;1.984817E+002
27565000;-6.047302E-001;1.458848E+002;1.996723E+002
27577000;-6.055505E-001;1.425931E+002;2.003026E+002
27588000;-6.063380E-001;1.384610E+002;1.986918E+002
27599000;-6.071034E-001;1.350292E+002;1.941395E+002
27610000;-6.078328E-001;1.353794E+002;1.965207E+002
27622000;-6.085573E-001;1.369902E+002;1.989720E+002
27633000;-6.093152E-001;1.386010E+002;2.022636E+002
27644000;-6.101235E-001;1.404920E+002;2.014232E+002
27655000;-6.109404E-001;1.409122E+002;1.993922E+002
27667000;-6.117421E-001;1.403519E+002;1.990420E+002
27679000;-6.125620E-001;1.386711E+002;1.986918E+002
27691000;-6.134214E-001;1.362198E+002;1.967308E+002
27703000;-6.143153E-001;1.364299E+002;1.929489E+002
27715000;-6.152189E-001;1.369202E+002;1.886067E+002
27726000;-6.160958E-001;1.365000E+002;1.845446E+002
27738000;-6.169236E-001;1.365000E+002;1.831439E+002
27750000;-6.176957E-001;1.373404E+002;1.831439E+002
27762000;-6.184335E-001;1.374805E+002;1.809027E+002
27774000;-6.191665E-001;1.366400E+002;1.748796E+002
27785000;-6.199333E-001;1.360797E+002;1.769107E+002
27797000;-6.207683E-001;1.384610E+002;1.781713E+002
27809000;-6.216404E-001;1.397916E+002;1.797121E+002
27820000;-6.225345E-001;1.408422E+002;1.811128E+002
27831000;-6.234227E-001;1.402819E+002;1.777511E+002
27842000;-6.242732E-001;1.389512E+002;1.802023E+002
27853000;-6.251110E-001;1.356595E+002;1.815330E+002
27864000;-6.251110E-001;1.299166E+002;1.791518E+002
27875000;-6.259727E-001;1.255043E+002;1.761403E+002
27887000;-6.268520E-001;1.255043E+002;1.852449E+002
27898000;-6.277304E-001;1.294964E+002;1.852449E+002
27910000;-6.285683E-001;1.339086E+002;1.915482E+002
27921000;-6.293827E-001;1.353794E+002;1.932991E+002
27932000;-6.301674E-001;1.327881E+002;1.930189E+002
27944000;-6.309315E-001;1.311072E+002;1.926687E+002
27956000;-6.317179E-001;1.300566E+002;1.926687E+002
27967000;-6.325275E-001;1.290761E+002;1.935092E+002
27979000;-6.333831E-001;1.250841E+002;1.939294E+002
27990000;-6.343541E-001;1.259245E+002;1.872059E+002
28001000;-6.352737E-001;1.256444E+002;1.844045E+002
28012000;-6.360975E-001;1.249440E+002;1.824435E+002
28024000;-6.369208E-001;1.225628E+002;1.823034E+002
28036000;-6.377321E-001;1.260646E+002;1.870659E+002
28049000;-6.385226E-001;1.297065E+002;1.879763E+002
28060000;-6.392952E-001;1.289361E+002;1.881164E+002
28071000;-6.400622E-001;1.266949E+002;1.902175E+002
28083000;-6.408265E-001;1.241736E+002;1.893070E+002
28095000;-6.416516E-001;1.248740E+002;1.845446E+002
28106000;-6.424778E-001;1.261346E+002;1.775410E+002
28118000;-6.432696E-001;1.269050E+002;1.725684E+002
28130000;-6.440279E-001;1.273953E+002;1.665454E+002
28142000;-6.447588E-001;1.273253E+002;1.591215E+002
28153000;-6.454865E-001;1.254343E+002;1.522580E+002
28165000;-6.462522E-001;1.231231E+002;1.468653E+002
28177000;-6.470736E-001;1.263447E+002;1.468653E+002
28188000;-6.479503E-001;1.309671E+002;1.468653E+002
28200000;-6.488369E-001;1.348191E+002;1.451144E+002
28212000;-6.496804E-001;1.381808E+002;1.438537E+002
28223000;-6.504312E-001;1.402819E+002;1.465851E+002
28234000;-6.510748E-001;1.380407E+002;1.504371E+002
28246000;-6.516352E-001;1.333483E+002;1.438537E+002
28257000;-6.523462E-001;1.325779E+002;1.450443E+002
28268000;-6.531447E-001;1.252942E+002;1.458848E+002
28279000;-6.539720E-001;1.245938E+002;1.474956E+002
